titledescriptiondatelink
1992-1993&lt;p&gt;The dawning of the Premier League and the rebirth of football itself. All the major issues are discussed, including cheerleaders, Jack Walker's millions, Alan Cork's proto-hipster beard, Alan Hansen's throbbing vein and Sheffield cutlery...&lt;/p&gt;Mon, 19 Mar 2018 11:18:00 GMThttps://c10.patreonusercontent.com/4/patreon-media/p/post/112604073/26261afafe2f48e0883d3b981d7ee559/eyJhIjoxLCJwIjoxfQ%3D%3D/1.mp3?token-hash=JO4LyMJb2RUz_OcqyU8Qiy4BnjtxreJlP38jd-rBZKI%3D&token-time=1748390400
1993-1994&lt;p&gt;Some of the highlights of the Premier League's second season, including speculation over the smell of John Gorman, Alex Ferguson's cocker spaniel observations, some expensive Clubcall memories, a very NSFW movie quiz and Bill Kenwright's Everton 'mechanism'...&lt;/p&gt;&lt;p&gt;&lt;/p&gt;Mon, 02 Apr 2018 11:25:00 GMThttps://c10.patreonusercontent.com/4/patreon-media/p/post/112839264/1648207229f8499c9656b11bf42b7ee6/eyJhIjoxLCJwIjoxfQ%3D%3D/1.mp3?token-hash=AKd8oAXV8SBWhG0poIboeqkTPkEdmPCA9pslBvja8-c%3D&token-time=1748390400
1994-1995&lt;p&gt;Another season examined by Andy and Sam, including George Graham's hole in the corner, how many helicopters you'd need to lower an elephant into Selhurst Park, a lawyer visiting a barber's shop for the very first time, and Rodney Marsh - cat-killer...&lt;/p&gt;Thu, 19 Apr 2018 18:58:00 GMThttps://c10.patreonusercontent.com/4/patreon-media/p/post/112839355/d58a575f86d24da68b53bb36d02674c9/eyJhIjoxLCJwIjoxfQ%3D%3D/1.mp3?token-hash=GhMfnHZ2C5SRBijJ0_MBOcYjdvMPhIOJ-l3TM7lovlw%3D&token-time=1748390400
1995-1996&lt;p&gt;Sexy sexy sexy. With sexy foreigners, sexy football, the sexy team bus video that killed Newcastle United's title challenge and Peter Schmeichel's scorched douglas, this was easily the most erotically-charged Premier League season to date. Oh, and there was Bruce Rioch as well...&lt;/p&gt;Thu, 03 May 2018 07:13:00 GMThttps://c10.patreonusercontent.com/4/patreon-media/p/post/112839436/f7c5fb73e75e4b5cbf74de9f61bd35f8/eyJhIjoxLCJwIjoxfQ%3D%3D/1.mp3?token-hash=qI0No1Kqdiok9bSecL8j4Q8g0FbdjNCEUAl2cehPNyk%3D&token-time=1748390400
1996-1997&lt;p&gt;Graeme Souness is duped into signing Ali Dia, Kevin Keegan gets confused about miracles, Howard Wilkinson lashes out at Leeds and plots a swallow-based training session, Tony Adams bins the booze and gets addicted to self-reflection, John Motson describes an otherworldly goal and which player has a heart that is even bigger than his entire body?&lt;/p&gt;Fri, 18 May 2018 11:04:00 GMThttps://c10.patreonusercontent.com/4/patreon-media/p/post/112839512/d7afc2f2dfc64262bc34f54196705bf3/eyJhIjoxLCJwIjoxfQ%3D%3D/1.mp3?token-hash=k-wGr-YeCgnK-Cqoe4AJpwy6EMgvmd6OnZxYX1bBwio%3D&token-time=1748390400
1997-1998&lt;p&gt;Christian Gross arrives on the tube, Roy Hodgson returns from European exile, Temuri Ketsbaia has a striptease meltdown, Ron Noades appoints himself at Palace, and we also look at Sky Sports' marketing strategies, Ever Decreasing Circles and shop vibes.&lt;/p&gt;Thu, 31 May 2018 10:31:00 GMThttps://c10.patreonusercontent.com/4/patreon-media/p/post/112839603/5391e77a06a44ed3b8e878b7933747b3/eyJhIjoxLCJwIjoxfQ%3D%3D/1.mp3?token-hash=4yyuf0VHPhtnI-Gxe3u14BXBVq3tJlY8WEXKMRrq6-4%3D&token-time=1748390400
World Cup 1982&lt;p&gt;School art displays, Naranjito’s sex life, alphabetical squad numbers, a dead OAP’s TV, squad songs, the worst assault on a football pitch EVER and Paul Breitner’s chequered past. Oh and… (Toni Polster...)&lt;/p&gt;Tue, 12 Jun 2018 20:00:00 GMThttps://c10.patreonusercontent.com/4/patreon-media/p/post/114001623/ae2a393c5a40462c89b8575471b0dcc7/eyJhIjoxLCJwIjoxfQ%3D%3D/1.mp3?token-hash=aARdVwV6sNrptLqa6mLMrNDTTBDDjfq0PnpU46y-tKY%3D&token-time=1748390400
World Cup 1986&lt;p&gt;To Mexico! We discuss the sanitary arrangements of England's group opponents, the correct pronunciation of 'jalapeno', cocaine-fuelled football and which is best out of rats and bats.&lt;/p&gt;Fri, 15 Jun 2018 20:00:00 GMThttps://c10.patreonusercontent.com/4/patreon-media/p/post/114002327/9a48ffba1d0e4b0b85ad26b00097ba7f/eyJhIjoxLCJwIjoxfQ%3D%3D/1.mp3?token-hash=babGGFLvR4Pwm7BcULgCEGn1HovfpynJLPRepEeSnu8%3D&token-time=1748390400
World Cup 1990&lt;p&gt;Italia 90 – the worst mascot so far, some patchy football, a school play, an unexpected rat’s tail, Roger Milla’s love tree, short man syndrome and drugged Gatorade. Oh, and hello Mr. Sausage…&lt;/p&gt;Mon, 18 Jun 2018 20:00:00 GMThttps://c10.patreonusercontent.com/4/patreon-media/p/post/114002404/35b3fa0817db4d08847f7d98ddb20e7c/eyJhIjoxLCJwIjoxfQ%3D%3D/1.mp3?token-hash=aJwCzKIXpJIkXPaElrM8mKwoFoLt8Rd7cV2KZH3Cmrw%3D&token-time=1748390400
World Cup 1994&lt;p&gt;A yankee doodle World Cup, with ITV's anti-tan strategy, Maradona's five-drug cocktail, imaginary noncing, a tale about Steve Jones from The Pyramid Game, and the launch of the hit TV show 'Sausage Island'...&lt;/p&gt;Thu, 21 Jun 2018 20:00:00 GMThttps://c10.patreonusercontent.com/4/patreon-media/p/post/114002480/af7e97c035b1474799c381736af07b76/eyJhIjoxLCJwIjoxfQ%3D%3D/1.mp3?token-hash=rzYqSAqr7qakJ89kkEdl6j3IxcM2mKlMurkjLczplnw%3D&token-time=1748390400
