titledescriptiondatelink
Mince 1: The Power of Gentleness&lt;p&gt;Gentle managers, unofficial tractors, cheap lobster and black dogs are covered in the first episode of this football podcast with Bob Mortimer and Andy Dawson.&lt;/p&gt;Wed, 10 Apr 2019 18:50:00 GMThttps://c10.patreonusercontent.com/4/patreon-media/p/post/26016526/9a2fd8092fd349bc9ed1087ebc484ec0/eyJhIjoxLCJwIjoxfQ%3D%3D/1.mp3?token-hash=X90AtraJHSXCv84zy6iWBziS5IZ8YzLdgpx92qqFx5Y%3D&token-time=1748390400
Mince 2: The Reverse Toilet&lt;p&gt;A lavatory revolution, denim, memorabilia and tractors (again)…&lt;/p&gt;Wed, 10 Apr 2019 18:57:42 GMThttps://c10.patreonusercontent.com/4/patreon-media/p/post/26016779/982dcb40675945e0a7d3dd789dd03755/eyJhIjoxLCJwIjoxfQ%3D%3D/1.mp3?token-hash=utgzzmup8-15wHL1NdIt-_opU5sDuMa8pVl2KZn4jLQ%3D&token-time=1748390400
Mince 3: Chickens&lt;p&gt;Foam products, ocelots, a catchphrase origin tale, the Gambian D-League, but mainly chickens. Chickens.&lt;/p&gt;Wed, 10 Apr 2019 18:59:38 GMThttps://c10.patreonusercontent.com/4/patreon-media/p/post/26016834/0270ab8e9e064d52abf194b4628f3749/eyJhIjoxLCJwIjoxfQ%3D%3D/1.mp3?token-hash=lOqn40aHyHUZkHi1WhKwP1lxvq2EXKFb7t1CIkB8-gI%3D&token-time=1748390400
Mince 4: Football Reinvented&lt;p&gt;Lifting up celebrities, mints, footballers’ houses, and some domestic appliance purchase advice.&lt;/p&gt;Wed, 10 Apr 2019 19:01:43 GMThttps://c10.patreonusercontent.com/4/patreon-media/p/post/26016885/d1d8287bfd2a4c5fb5f79dba512673ac/eyJhIjoxLCJwIjoxfQ%3D%3D/1.mp3?token-hash=nN4yKqnOCNDfAr6VA13nWFxy9R3VWUOjfJt4iAL_Cvw%3D&token-time=1748390400
Mince 5: Napoleon's Bed&lt;p&gt;Fun camping games, Janet Jackson, dry rising outlets, custard-filled balls, and a minimum of 8% football.&lt;/p&gt;Wed, 10 Apr 2019 19:05:12 GMThttps://c10.patreonusercontent.com/4/patreon-media/p/post/26016968/dac17fd1bf2f4e55b80359bd3ac19aaa/eyJhIjoxLCJwIjoxfQ%3D%3D/1.mp3?token-hash=u0fr-KKht6Rhp8fJoUR_qvm2hAoZNjyYityv-ASLcAk%3D&token-time=1748390400
Mince 6: World's Biggest Poppadom&lt;p&gt;Bob’s new shoes, stolen Frosties, Louis van Gaal’s sanity, beanies, Leighton Baines’ shorts swap and a free transfer to Geordie Shore.&lt;/p&gt;Wed, 10 Apr 2019 19:06:54 GMThttps://c10.patreonusercontent.com/4/patreon-media/p/post/26017004/6a8333156ef644e3b69299c92e582d20/eyJhIjoxLCJwIjoxfQ%3D%3D/1.mp3?token-hash=jYgMQxSA1YeB2UsVUQcepGmpyE_Z5ePqVD_H-s_lbz8%3D&token-time=1748390400
Mince 7: Bob's Garden&lt;p&gt;Slightly shorter than usual, an episode recorded next to Bob’s water feature and definitely not done on FaceTime or anything.&lt;/p&gt;Wed, 10 Apr 2019 19:08:18 GMThttps://c10.patreonusercontent.com/4/patreon-media/p/post/26017049/26f44336bc8240c7aaff1eacf61bf08f/eyJhIjoxLCJwIjoxfQ%3D%3D/1.mp3?token-hash=Ia8ahj15Sjo7KM5onkLrpNySDgM3Fae5XmDcudfHMTk%3D&token-time=1748390400
Mince 8: Mickey Drink Retrieves The Keys&lt;p&gt;Heart tips, drinking Dolmio in the cinema, Steve McClaren’s nasal hair, Andy’s fungalow, Bob’s millionaire lifestyle and a lovely song about a bird.&lt;/p&gt;Wed, 10 Apr 2019 19:10:00 GMThttps://c10.patreonusercontent.com/4/patreon-media/p/post/26017077/08a8a1bec65c43d696e80202bf2e40a1/eyJhIjoxLCJwIjoxfQ%3D%3D/1.mp3?token-hash=2fFisTk8XQtdemL4FWwZV0Ff8pJb0KladQzX4in6EV8%3D&token-time=1748390400
Mince 9: Mashed Potato Fireworks&lt;p&gt;Steve McClaren’s birthday,  a ruthless assessment of Chris Evans, a story about when Bob got shot and another song.&lt;/p&gt;Wed, 10 Apr 2019 19:11:44 GMThttps://c10.patreonusercontent.com/4/patreon-media/p/post/26017115/fdd0f349c42e40a18850287e9cd95d85/eyJhIjoxLCJwIjoxfQ%3D%3D/1.mp3?token-hash=RRGbrZnFe6EoeOvT-ZOPPebyJpCC-Cok4QTrwrNUbSs%3D&token-time=1748390400
Mince 10: Return of the Buttered Weetabix&lt;p&gt;Fishing with a slipper,  memory foam, Leicester, Bob’s servant confession and a song about Didier Drogba.&lt;/p&gt;Wed, 10 Apr 2019 19:13:24 GMThttps://c10.patreonusercontent.com/4/patreon-media/p/post/26017154/fea44a6b338b4abcbceed91f51bb70a1/eyJhIjoxLCJwIjoxfQ%3D%3D/1.mp3?token-hash=bYJI7hV9bZFCH9Pr7-XpBWSSw04w9hTkffmceBxTsrs%3D&token-time=1748390400
